2D;2D;2D; , 97865
2A;2A;2A; , 60749
2D;2D;2A; , 54031
2A;2D;2D; , 52470
2A;2A;2D; , 45224

2D;2D;2D; , 97865
2A;2A;2A; , 60749
2D;2D;2D;2D; , 43029
2D;2D;2D;2A; , 27156
2D;2D;2D;2D;2D; , 18100
2A;2A;2D;2D;2D; , 12953
2D;2D;2D;2D;2D;2D; , 7570
2A;2A;2A;2D;2D;2D; , 6342
2D;2D;2D;2D;2D;2D;2D; , 3272
2A;2A;2A;2D;2D;2D;2D; , 2948
2D;2D;2D;2D;2A;2A;2A; , 2824
2D;2D;2D;2D;2D;2D;2D;2D; , 1416
2A;2A;2A;2A;2D;2D;2D;2D; , 1389
2D;2D;2D;2D;2D;2A;2A;2A; , 1379
2A;2A;2A;2A;2A;2A;2A;2A;2A; , 839
2D;2D;2D;2D;2D;2D;2D;2D;2D; , 747
2D;2D;2D;2D;2D;2A;2A;2A;2A; , 685
2A;2A;2A;2A;2A;2A;2A;2A;2A;2A; , 547
2D;2D;2D;2D;2D;2D;2D;2D;2D;2D; , 487
2D;2A;2A;2D;2D;2A;2A;2D;2D;2A;2A; , 331
2A;2D;2A;2D;2A;2D;2A;2D;2A;2D;2A; , 326

2A;2D;2D;2A;2A; , 5807
2A;3D;4A; , 5797

2A;2D;2D;2D;2D;2D;2D; , 1988
2D;4D;2A; , 1977

5A;3D;3D; , 970
2D;2D;2D;2D;3A;2D;2D; , 968

4A;2A;5D; , 685
2D;2D;2D;2D;2D;2A;2A;2A;2A; , 685

4A;2A;4D;2D; , 87
2D;2A;2A;2A;3D;4A;2A;2D;2D;2D;2D; , 88

2D;2D;2D;4A;2D;2D;2D;2D;2D;2D;2A; , 26
2A;3D;4A;5D;4A;5D;2A; , 26
2A;2A;2A;3D;2A;2D;2D;2D;2A;2A;2A; , 6
3D;3A;2A;2D;2A;4D;5A;2D;4A;4D;2A; , 2
2D;4D;2D;4A;3A;3A;7D;3A; , 1