Rhythmic;&;Occurrences;&;Chromatic;&;Occurrences;&;Melodic;&;Occurrences;\\
\hline;;;;;;;;;;;
(1)(1)(1) ;&;469_222;&;"2-;2-;2-; ";&;97_865;&;"1-;2-;2-; ";&;29_215;\\
(1)(1)(1)(1) ;&;358_406;&;"2+;2+;2+; ";&;60_749;&;"2-;2-;1-; ";&;28_569;\\
(1)(1)(1)(1)(1) ;&;295_639;&;"2-;2-;2+; ";&;54_031;&;"2-;1-;2-; ";&;28_545;\\
(1)(1)(1)(1)(1)(1) ;&;245_194;&;"2+;2-;2-; ";&;52_470;&;"2+;2+;1+; ";&;20_095;\\
(1)(1)(1)(1)(1)(1)(1) ;&;213_423;&;"2+;2+;2-; ";&;45_224;&;"2-;1-;1+; ";&;19_488;\\
(1)(1)(1)(1)(1)(1)(1)(1) ;&;187_585;&;"2-;2-;2-;2-; ";&;43_029;&;"2-;2-;1-;2-; ";&;13_223;\\
(1)(1)(1)(1)(1)(1)(1)(1)(1) ;&;168_633;&;"2-;2-;2-;2+; ";&;27_156;&;"2-;1-;2-;2-; ";&;12_427;\\
(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) ;&;152_488;&;"2-;2-;2-;2-;2-; ";&;18_100;&;"2-;2-;1-;2-;2-; ";&;5_294;\\
(1)(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) ;&;139_591;&;"2+;2+;2-;2-;2-; ";&;12_953;&;"2+;2-;2-;1-;2-; ";&;4_018;\\
(1)(1)(2) ;&;62_073;&;"2-;2-;2-;2-;2-;2-; ";&;7_570;&;"1+;2+;2+;2-;2-; ";&;3_139;\\
(1)(1)(1)(2) ;&;53_322;&;"2+;2+;2+;2-;2-;2-; ";&;6_342;&;"2-;5+;1-; ";&;3_130;\\
(1)(2)(1) ;&;51_347;&;"2+;2-;2-;2+;2+; ";&;5_807;&;"2+;1+;2+;2-;1-; ";&;2_659;\\
(1/2)(1)(1)(1) ;&;46_026;&;"2+;3-;4+; ";&;5_797;&;"1-;1+;1-;1+; ";&;2_659;\\
(1)(1)(1)(1)(2) ;&;27_976;&;"2-;2-;2-;2-;2-;2-;2-; ";&;3_272;&;"2+;3-;2-; ";&;1_968;\\
(1)(1)(1)(1)(1)(2) ;&;23_965;&;"2+;2+;2+;2-;2-;2-;2-; ";&;2_948;&;"2+;2+;1+;1-;2-;2-; ";&;1_961;\\
(1/2)(1)(1)(1)(1) ;&;21_853;&;"2-;2-;2-;2-;2+;2+;2+; ";&;2_824;&;"1+;2+;2+;2-;2-;1-; ";&;1_948;\\
(1/2)(1)(1)(1)(1)(1) ;&;19_800;&;"2+;2-;2-;2-;2-;2-;2-; ";&;1_988;&;"2+;1+;2+;2+;2-;2-;1-; ";&;872;\\
(1/2)(1)(1)(1)(1)(1)(1) ;&;10_428;&;"2-;4-;2+; ";&;1_977;&;"2-;1-;2-;2-;2+;2+;1+; ";&;809;\\
(1)(1)(2)(1/2)(1)(1)(1) ;&;9_127;&;"2-;2-;2-;2-;2-;2-;2-;2-; ";&;1_416;&;"2+;1+;2+;2+;2-;2-;1-;2-; ";&;519;\\
(1/2)(1)(1)(1)(1)(1)(1)(1) ;&;8_169;&;"2+;2+;2+;2+;2-;2-;2-;2-; ";&;1_389;&;"2+;2+;1+;2+;2+;2-;2-;1-; ";&;411;\\
(1)(1)(1)(2)(1/2)(1)(1)(1) ;&;8_032;&;"2-;2-;2-;2-;2-;2+;2+;2+; ";&;1_379;&;"2+;2+;1+;2+;2+;2-;2-;1-;2-; ";&;273;\\
(1)(1)(1)(1)(1)(1)(1)(1)(2) ;&;7_562;&;"5+;3-;3-; ";&;970;&;"3-;3+;3-;3+;3-;3+;3-;3+;3-; ";&;269;\\
(1/2)(1)(2)(1/2)(1)(2) ;&;7_196;&;"2-;2-;2-;2-;3+;2-;2-; ";&;968;&;"3+;3-;3+;3-;3+;3-;3+;3-;3+; ";&;258;\\
(1)(1/2)(2) ;&;7_165;&;"2+;2+;2+;2+;2+;2+;2+;2+;2+; ";&;839;&;"3-;3+;3-;3+;3-;3+;3-;3+;3-;3+; ";&;229;\\
(1)(1)(1)(1)(1)(1)(1)(1)(1)(2) ;&;6_837;&;"2-;2-;2-;2-;2-;2-;2-;2-;2-; ";&;747;&;"3+;3-;3+;3-;3+;3-;3+;3-;3+;3-; ";&;223;\\
(1/2)(1)(1)(1)(1)(1)(1)(1)(1) ;&;5_601;&;"2-;2-;2-;2-;2-;2+;2+;2+;2+; ";&;685;&;"1+;2+;4-; ";&;211;\\
(1/2)(1)(1)(1)(1)(1)(1)(1)(1)(1) ;&;5_321;&;"4+;2+;5-; ";&;685;&;"2+;1+;2+;2+;2-;2-;1-;2-;2-; ";&;211;\\
(2)(1/2)(2)(1/2)(2)(1/2)(2)(1/2) ;&;5_232;&;"2-;2-;2-;2-;2-;2+;2+;2+;2+; ";&;685;&;"3+;3-;3+;3-;3+;3-;3+;3-;3+;3-;3+; ";&;209;\\
(2)(1)(1/2)(1)(2) ;&;5_224;&;"2+;2+;2+;2+;2+;2+;2+;2+;2+;2+; ";&;547;&;"3-;3+;3-;3+;3-;3+;3-;3+;3-;3+;3-; ";&;196;\\
(1)(1)(1)(1)(1)(1)(1)(1)(1)(1)(2) ;&;5_038;&;"2-;2-;2-;2-;2-;2-;2-;2-;2-;2-; ";&;487;&;"1-;1+;2+;2-;1-;1+;2+;2-;1-;1+; ";&;157;\\
(1)(1)(1)(2)(1/2)(1)(1)(1)(1)(1) ;&;4_546;&;"2-;2+;2+;2-;2-;2+;2+;2-;2-;2+;2+; ";&;331;&;"1-;1+;2+;2-;1-;1+;2+;2-;1-;1+; ";&;157;\\
(1/2)(1)(1)(1)(1)(1)(1)(1)(1)(1)(1) ;&;3_762;&;"2+;2-;2+;2-;2+;2-;2+;2-;2+;2-;2+; ";&;326;&;"7-;4+;1+;2+; ";&;157;\\
(2)(1)(3/2) ;&;3_496;&;"2-;2+;2+;2+;3-;4+;2+;2-;2-;2-;2-; ";&;88;&;"1-;1+;2+;2-;1-;1+;2+;2-;1-;1+;2+; ";&;132;\\
(1)(1)(1)(3)(1/3)(1)(1) ;&;3_461;&;"4+;2+;4-;2-; ";&;87;&;"8-;2-;2+;8+;1-; ";&;26;\\
(1/4)(1)(2) ;&;2_744;&;"2-;2-;2-;4+;2-;2-;2-;2-;2-;2-;2+; ";&;26;&;"2-;2+;8+;1-;1+;12-;2+;2+;2+; ";&;26;\\
(1)(1)(1)(1)(1)(1)(1)(1)(2)(1/2) ;&;2_733;&;"2+;3-;4+;5-;4+;5-;2+; ";&;26;&;"7-;4+;9-;3+; ";&;26;\\
(1/2)(1)(1)(1)(6)(1/3)(3)(1/3)(1) ;&;4;&;"2+;2+;2+;3-;2+;2-;2-;2-;2+;2+;2+; ";&;6;&;"1+;1-;2-;2-;5+;1-;2-;2-;7+;2-;1-; ";&;2;\\
(1/3)(8)(1/4)(1)(1)(1)(4)(1/2)(3/4)(1/3) ;&;3;&;"3-;3+;2+;2-;2+;4-;5+;2-;4+;4-;2+; ";&;2;&;"2+;1+;2+;2+;4-;3-;2+;4-;4+;2-;2-; ";&;1;\\
(1/2)(2)(1/2)(1)(1)(2)(3/4)(1/3)(2) ;&;1;&;"2-;4-;2-;4+;3+;3+;7-;3+; ";&;1;&;;&;;\\
;;;;;;;;;;;
;;;;;;;;;;;